[2026-06-01 10:13:46] === Sniffer Started ===
[2026-06-01 10:16:24] UDP  | 192.168.146.1:60522 --> 239.255.255.250:1900
[2026-06-01 10:16:24] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:24] UDP  | 192.168.146.1:52463 --> 224.0.0.252:5355
[2026-06-01 10:16:24] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:24] UDP  | 192.168.146.1:62533 --> 239.255.255.250:1900
[2026-06-01 10:16:24] UDP  | 192.168.146.1:62533 --> 239.255.255.250:1900
[2026-06-01 10:16:24] UDP  | 192.168.146.1:62533 --> 239.255.255.250:1900
[2026-06-01 10:16:24] UDP  | 0.0.0.0:68 --> 255.255.255.255:67
[2026-06-01 10:16:24] UDP  | 192.168.146.254:67 --> 192.168.146.128:68
[2026-06-01 10:16:24] ICMP | 192.168.146.128 --> 192.168.146.254
[2026-06-01 10:16:24] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:24] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:16:24] UDP  | 192.168.146.1:49761 --> 224.0.0.252:5355
[2026-06-01 10:16:25] TCP  | 192.168.146.128:35816 --> 34.107.221.82:80
[2026-06-01 10:16:25] UDP  | 192.168.146.1:62533 --> 239.255.255.250:1900
[2026-06-01 10:16:25] TCP  | 34.107.221.82:80 --> 192.168.146.128:35816
[2026-06-01 10:16:25] TCP  | 192.168.146.128:35816 --> 34.107.221.82:80
[2026-06-01 10:16:25] TCP  | 192.168.146.128:35816 --> 34.107.221.82:80
[2026-06-01 10:16:25] TCP  | 34.107.221.82:80 --> 192.168.146.128:35816
[2026-06-01 10:16:25] TCP  | 192.168.146.128:35830 --> 34.107.221.82:80
[2026-06-01 10:16:25] TCP  | 34.107.221.82:80 --> 192.168.146.128:35816
[2026-06-01 10:16:25] TCP  | 192.168.146.128:35816 --> 34.107.221.82:80
[2026-06-01 10:16:25] TCP  | 34.107.221.82:80 --> 192.168.146.128:35830
[2026-06-01 10:16:25] TCP  | 192.168.146.128:35830 --> 34.107.221.82:80
[2026-06-01 10:16:27] UDP  | 192.168.146.1:62533 --> 239.255.255.250:1900
[2026-06-01 10:16:27] UDP  | 192.168.146.1:62533 --> 239.255.255.250:1900
[2026-06-01 10:16:28] UDP  | 192.168.146.1:62533 --> 239.255.255.250:1900
[2026-06-01 10:16:29] UDP  | 192.168.146.128:40277 --> 192.168.146.2:53
[2026-06-01 10:16:29] UDP  | 192.168.146.128:40277 --> 192.168.146.2:53
[2026-06-01 10:16:29] UDP  | 192.168.146.2:53 --> 192.168.146.128:40277
[2026-06-01 10:16:29] UDP  | 192.168.146.2:53 --> 192.168.146.128:40277
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
[2026-06-01 10:16:29] TCP  | 192.168.146.128:50030 --> 34.107.243.93:443
[2026-06-01 10:16:29] TCP  | 34.107.243.93:443 --> 192.168.146.128:50030
